#Organism/Name,TaxID,BioProject Accession,BioProject ID,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Status
Staphylococcus phage 6ec,1500386,PRJNA253318,253318,"dsDNA viruses, no RNA stage",Siphoviridae,93.794,29.3,bacteria, Unknown:NC_024355.1/KJ804259.1,143,142,2014/06/03,2014/08/22,Complete Genome
Listeria phage LP-026,1173745,PRJNA253319,253319,"dsDNA viruses, no RNA stage",Siphoviridae,67.15,36.3,bacteria, Unknown:NC_024375.1/KJ094020.1,114,114,2014/05/30,2014/07/23,Complete Genome
Mycobacterium phage Manad,1486403,PRJNA253320,253320,"dsDNA viruses, no RNA stage",Siphoviridae,68.807,66.4,bacteria, Unknown:NC_024363.1/KJ595576.1,101,101,2014/05/24,2014/06/24,Complete Genome
Anabaena phage A-4L,1357732,PRJNA253321,253321,"dsDNA viruses, no RNA stage",Podoviridae,41.75,43.4,bacteria, Unknown:NC_024358.1/KF356198.1,38,38,2014/05/31,2015/06/17,Complete Genome
Pseudomonas phage phiPSA2,1500756,PRJNA253322,253322,"dsDNA viruses, no RNA stage",Podoviridae,40.472,57.4,bacteria, Unknown:NC_024362.1/KJ507099.1,47,47,2014/05/24,2014/06/24,Complete Genome
Mycobacterium phage Pinto,1498204,PRJNA253323,253323,"dsDNA viruses, no RNA stage",Siphoviridae,50.61,63.5,bacteria, Unknown:NC_024368.1/KJ690250.1,87,87,2014/05/24,2014/06/24,Complete Genome
Vibrio phage X29,1500713,PRJNA253324,253324,"dsDNA viruses, no RNA stage",Myoviridae,41.569,46.1,bacteria, Unknown:NC_024369.2/KJ572845.2,67,67,2014/05/26,2015/01/07,Complete Genome
Cronobacter phage CR8,1327934,PRJNA253325,253325,"dsDNA viruses, no RNA stage",Myoviridae,149.162,50.8,bacteria, Unknown:NC_024354.1/KC954774.1,286,269,2014/06/03,2014/06/24,Complete Genome
Enterococcus phage IME-EFm1,1445858,PRJNA253326,253326,"dsDNA viruses, no RNA stage",Siphoviridae,42.597,35.2,bacteria, Unknown:NC_024356.1/KJ010489.1,70,70,2014/06/03,2014/11/21,Complete Genome
Mycobacterium phage Damien,1486469,PRJNA253327,253327,"dsDNA viruses, no RNA stage",Siphoviridae,68.386,57.6,bacteria, Unknown:NC_024371.1/KJ567046.1,93,93,2014/05/24,2014/06/24,Complete Genome
Dinoroseobacter phage DFL12phi1,1477404,PRJNA253328,253328,"dsDNA viruses, no RNA stage",Podoviridae,75.028,49.3,bacteria, Unknown:NC_024367.1/KJ621082.2,86,86,2014/04/22,2014/06/24,Complete Genome
Mycobacterium phage OkiRoe,1486473,PRJNA253329,253329,"dsDNA viruses, no RNA stage",Siphoviridae,62.661,64.9,bacteria, Unknown:NC_024366.1/KJ567042.1,97,96,2014/05/24,2014/06/24,Complete Genome
Listeria phage LP-048,1173764,PRJNA253330,253330,"dsDNA viruses, no RNA stage",Myoviridae,133.048,36,bacteria, Unknown:NC_024359.1/KJ094033.1,194,177,2014/05/30,2014/07/23,Complete Genome
Simian pegivirus,1454041,PRJNA253339,253339,ssRNA viruses,Flaviviridae,9.525,56.6,vertebrates, Unknown:NC_024377.1/KF234501.1,1,1,2014/06/20,2014/06/24,Complete Genome
Pseudomonas phage vB_PaeS_SCH_Ab26,1476390,PRJNA253340,253340,"dsDNA viruses, no RNA stage",Siphoviridae,43.056,53.4,bacteria, Unknown:NC_024381.1/HG962376.1,52,52,2014/06/13,2016/06/25,Complete Genome
Staphylococcus phage DW2,1464127,PRJNA253383,253383,"dsDNA viruses, no RNA stage",Siphoviridae,41.941,36,bacteria, Unknown:NC_024391.1/KJ140076.1,62,62,2014/06/03,2014/06/24,Complete Genome
Listeria phage LP-114,1458857,PRJNA253384,253384,"dsDNA viruses, no RNA stage",Siphoviridae,66.676,36.4,bacteria, Unknown:NC_024392.1/KJ094021.1,116,116,2014/05/30,2014/07/23,Complete Genome
Listeria phage LP-030-3,1458852,PRJNA253385,253385,"dsDNA viruses, no RNA stage",Siphoviridae,41.156,36.6,bacteria, Unknown:NC_024384.1/KJ094022.1,73,73,2014/05/30,2014/07/23,Complete Genome
Leuconostoc phage phiLN6B,1262520,PRJNA253386,253386,"dsDNA viruses, no RNA stage",Siphoviridae,25.74,36.5,bacteria, Unknown:NC_024380.1/KC013024.1,39,39,2013/10/01,2014/06/24,Complete Genome
Listeria phage LP-083-2,1458855,PRJNA253387,253387,"dsDNA viruses, no RNA stage",Myoviridae,135.831,35.9,bacteria, Unknown:NC_024383.1/KJ094030.1,206,189,2014/05/30,2014/07/23,Complete Genome
Leuconostoc phage phiLN34,1262519,PRJNA253388,253388,"dsDNA viruses, no RNA stage",Siphoviridae,28.022,36,bacteria, Unknown:NC_024388.1/KC013027.1,41,41,2013/10/01,2014/06/24,Complete Genome
Leuconostoc phage phiLNTR3,1262521,PRJNA253389,253389,"dsDNA viruses, no RNA stage",Siphoviridae,28.015,36.1,bacteria, Unknown:NC_024378.1/KC013029.1,41,41,2013/10/01,2014/06/24,Complete Genome
Listeria phage LP-101,1458856,PRJNA253390,253390,"dsDNA viruses, no RNA stage",Siphoviridae,43.767,35.5,bacteria, Unknown:NC_024387.1/KJ094023.1,70,70,2014/05/30,2014/07/23,Complete Genome
Alcelaphine gammaherpesvirus 2,138184,PRJNA253391,253391,"dsDNA viruses, no RNA stage",Herpesviridae,137.09,46.6,vertebrates, Unknown:NC_024382.1/KF274499.1,70,70,2014/06/20,2014/07/25,Complete Genome
Leuconostoc phage phiLN12,1262517,PRJNA253392,253392,"dsDNA viruses, no RNA stage",Siphoviridae,28.193,36.6,bacteria, Unknown:NC_024385.1/KC013025.1,41,41,2013/10/01,2014/06/24,Complete Genome
Leuconostoc phage phiLNTR2,1262523,PRJNA253393,253393,"dsDNA viruses, no RNA stage",Siphoviridae,28.336,36,bacteria, Unknown:NC_024389.1/KC013028.1,42,42,2013/10/01,2014/06/24,Complete Genome
Escherichia phage PE3-1,1498170,PRJNA253394,253394,"dsDNA viruses, no RNA stage",Podoviridae,39.093,49.9,bacteria, Unknown:NC_024379.1/KJ748011.1,48,48,2014/06/08,2016/08/23,Complete Genome
Leuconostoc phage phiLN03,1262515,PRJNA253395,253395,"dsDNA viruses, no RNA stage",Siphoviridae,26.752,36.8,bacteria, Unknown:NC_024390.1/KC013022.1,39,39,2013/10/01,2014/06/24,Complete Genome
Sierra Nevada virus,1424280,PRJNA253396,253396,ssRNA viruses,Nyamiviridae,11.84,51.4,invertebrates, Unknown:NC_024376.1/KF530058.1,6,6,2014/06/20,2014/07/17,Complete Genome
Leuconostoc phage phiLN25,1262518,PRJNA253397,253397,"dsDNA viruses, no RNA stage",Siphoviridae,28.427,36.2,bacteria, Unknown:NC_024386.1/KC013026.1,41,41,2013/10/01,2014/06/24,Complete Genome
Horseshoe bat hepatitis B virus,1508711,PRJNA253463,253463,Retro-transcribing viruses,Hepadnaviridae,3.377,53.5,vertebrates, Unknown:NC_024444.1/KC790377.1,4,4,2013/09/27,2014/06/24,Complete Genome
Tent-making bat hepatitis B virus,1508712,PRJNA253464,253464,Retro-transcribing viruses,Hepadnaviridae,3.149,48.6,vertebrates, Unknown:NC_024445.1/KC790378.1,4,4,2013/09/27,2014/06/24,Complete Genome
Roundleaf bat hepatitis B virus,1508710,PRJNA253465,253465,Retro-transcribing viruses,Hepadnaviridae,3.368,53.1,vertebrates, Unknown:NC_024443.1/KC790373.1,4,4,2013/09/27,2014/06/24,Complete Genome
Pigeonpox virus,10264,PRJNA253476,253476,"dsDNA viruses, no RNA stage",Poxviridae,282.356,29.5,vertebrates, Unknown:NC_024447.1/KJ801920.1,271,224,2014/06/23,2014/06/25,Complete Genome
Penguinpox virus,648998,PRJNA253477,253477,"dsDNA viruses, no RNA stage",Poxviridae,306.862,29.5,vertebrates, Unknown:NC_024446.1/KJ859677.1,284,242,2014/06/23,2014/06/25,Complete Genome
Armadillidium vulgare iridescent virus,72201,PRJEB1570,253541,"dsDNA viruses, no RNA stage",Iridoviridae,220.222,35.1,invertebrates, Unknown:NC_024451.1/HF920637.1,203,203,2014/06/25,2016/02/05,Complete Genome
Cherry twisted leaf associated virus,1424279,PRJNA253575,253575,ssRNA viruses,Betaflexiviridae,8.431,42.1,plants, Unknown:NC_024449.1/KF958838.1,7,7,2014/06/23,2014/11/06,Complete Genome
Falconid herpesvirus 1,1510155,PRJNA253588,253588,"dsDNA viruses, no RNA stage",Herpesviridae,204.054,61.5,vertebrates, Unknown:NC_024450.1/KJ668231.1,130,130,2014/06/24,2014/06/25,Complete Genome
Porcine bocavirus 1 pig/ZJD/China/2006,795694,PRJNA253738,253738,ssDNA viruses,Parvoviridae,5.153,54.9,vertebrates, Unknown:NC_024453.2/HM053693.2,4,4,2010/06/16,2016/03/15,Complete Genome
Turkey parvovirus 1078,740933,PRJNA253739,253739,ssDNA viruses,Parvoviridae,4.642,43,vertebrates, Unknown:NC_024454.1/GU214705.1,5,4,2010/03/07,2014/06/27,Complete Genome
Chicken parvovirus ABU-P1,717641,PRJNA253740,253740,ssDNA viruses,Parvoviridae,5.257,43.6,vertebrates, Unknown:NC_024452.1/GU214704.1,4,4,2010/03/07,2014/06/27,Complete Genome
Yerba mate alphaendornavirus,1514896,PRJNA253818,253818,dsRNA viruses,Endornaviridae,13.954,35.7,plants, Unknown:NC_024455.1/KJ634409.1,1,1,2014/06/26,2014/11/06,Complete Genome
Pitaya virus X,1176736,PRJNA254434,254434,ssRNA viruses,Alphaflexiviridae,6.677,51.1,plants, Unknown:NC_024458.1/JF930327.1,5,5,2014/07/01,2014/07/08,Complete Genome
Pigeon adenovirus 1,764030,PRJNA255102,255102,"dsDNA viruses, no RNA stage",Adenoviridae,45.48,63.8,vertebrates, Unknown:NC_024474.1/FN824512.2,37,37,2010/05/16,2014/07/14,Complete Genome
Leishmania aethiopica RNA virus,1497019,PRJNA248100,248100,dsRNA viruses,Totiviridae,5.193,45.3,protozoa, Unknown:NC_024115.1/KF757256.1,5,5,2014/05/12,2014/05/19,Complete Genome
PoSCV Kor J481,1488557,PRJNA248101,248101,ssDNA viruses,unclassified,2.589,49.9,environment, Unknown:NC_024119.1/KF193403.1,2,2,2014/04/26,2014/05/19,Complete Genome
New Jersey polyomavirus-2013,1497391,PRJNA248102,248102,"dsDNA viruses, no RNA stage",Polyomaviridae,5.108,39.3,vertebrates, Unknown:NC_024118.1/KF954417.1,6,6,2014/05/12,2015/08/18,Complete Genome
Duck megrivirus,1350001,PRJNA248318,248318,ssRNA viruses,Picornaviridae,9.7,45.3,vertebrates, Unknown:NC_024120.1/KC663628.1,1,1,2014/05/16,2014/05/23,Complete Genome
Pseudomonas phage KPP25,1462608,PRJNA248320,248320,"dsDNA viruses, no RNA stage",Podoviridae,64.113,60.3,bacteria, Unknown:NC_024123.1/AB910393.1,88,88,2014/04/05,2015/07/03,Complete Genome
Escherichia phage vB_EcoM_JS09,1430444,PRJNA248321,248321,"dsDNA viruses, no RNA stage",Myoviridae,169.148,37.6,bacteria, Unknown:NC_024124.2/KF582788.2,273,273,2014/04/02,2015/08/17,Complete Genome
Salmonella phage vB_SalM_SJ3,1446492,PRJNA248322,248322,"dsDNA viruses, no RNA stage",Myoviridae,162.91,44.4,bacteria, Unknown:NC_024122.1/KJ174318.1,214,210,2014/04/07,2014/11/06,Complete Genome
Serratia phage PS2,1481112,PRJNA248461,248461,"dsDNA viruses, no RNA stage",Myoviridae,167.266,41.7,bacteria, Unknown:NC_024121.1/KJ025957.1,279,275,2014/05/05,2014/05/23,Complete Genome
Escherichia phage vB_EcoM_112,1495285,PRJNA248462,248462,"dsDNA viruses, no RNA stage",Myoviridae,168.47,35.3,bacteria, Unknown:NC_024125.2/KJ668714.2,287,279,2014/05/07,2014/12/03,Complete Genome
Escherichia phage FFH2,1446490,PRJNA248531,248531,"dsDNA viruses, no RNA stage",Myoviridae,139.02,43.6,bacteria, Unknown:NC_024134.1/KJ190158.1,224,218,2014/05/09,2014/11/06,Complete Genome
Clostridium phage CDMH1,1411095,PRJNA248532,248532,"dsDNA viruses, no RNA stage",Myoviridae,54.279,28.4,bacteria, Unknown:NC_024144.1/HG531805.1,84,84,2014/03/31,2014/05/27,Complete Genome
Escherichia phage vB_EcoS_FFH1,1446489,PRJNA248533,248533,"dsDNA viruses, no RNA stage",Siphoviridae,108.483,39.2,bacteria, Unknown:NC_024139.1/KJ190157.1,179,156,2014/05/09,2014/11/06,Complete Genome
Pseudomonas phage vB_PaeP_C2-10_Ab09,1476391,PRJNA248534,248534,"dsDNA viruses, no RNA stage",Podoviridae,72.028,54.9,bacteria, Unknown:NC_024140.1/HG962375.1,83,83,2014/04/10,2016/06/25,Complete Genome
Lactoccocus phage WP-2,1486423,PRJNA248625,248625,"dsDNA viruses, no RNA stage",Podoviridae,18.899,31.1,bacteria, Unknown:NC_024149.1/KJ528544.1,24,24,2014/05/11,2014/11/21,Complete Genome
Escherichia phage Bp4,1458848,PRJNA248626,248626,"dsDNA viruses, no RNA stage",Podoviridae,72.583,42.9,bacteria, Unknown:NC_024142.2/KJ135004.2,96,94,2014/04/02,2015/10/19,Complete Genome
Enterobacteria phage 9g,1468411,PRJNA248627,248627,"dsDNA viruses, no RNA stage",Siphoviridae,56.702,43.9,bacteria, Unknown:NC_024146.1/KJ419279.1,71,71,2014/04/02,2014/05/27,Complete Genome
Mycobacterium phage Lamina13,1468169,PRJNA248628,248628,"dsDNA viruses, no RNA stage",Siphoviridae,53.255,63.7,bacteria, Unknown:NC_024143.1/KJ409696.1,96,96,2014/04/02,2014/05/27,Complete Genome
Mycobacterium phage MosMoris,1471542,PRJNA248629,248629,"dsDNA viruses, no RNA stage",Siphoviridae,65.243,63.4,bacteria, Unknown:NC_024138.1/KJ538721.1,111,111,2014/05/07,2014/05/27,Complete Genome
Mycobacterium phage Kampy,1486425,PRJNA248630,248630,"dsDNA viruses, no RNA stage",Siphoviridae,51.378,63.9,bacteria, Unknown:NC_024141.1/KJ510414.1,88,88,2014/05/05,2014/05/27,Complete Genome
Mycobacterium phage ZoeJ,1486427,PRJNA248631,248631,"dsDNA viruses, no RNA stage",Siphoviridae,57.315,68.5,bacteria, Unknown:NC_024147.1/KJ510412.1,92,92,2014/05/05,2014/05/27,Complete Genome
Bacillus phage Bcp1,584892,PRJNA248632,248632,"dsDNA viruses, no RNA stage",Myoviridae,152.778,39.8,bacteria, Unknown:NC_024137.1/KJ451625.1,229,229,2014/03/28,2014/06/18,Complete Genome
Mycobacterium phage Bernal13,1486424,PRJNA248633,248633,"dsDNA viruses, no RNA stage",Siphoviridae,42.392,66.2,bacteria, Unknown:NC_024135.1/KJ510413.1,60,60,2014/05/05,2014/05/27,Complete Genome
Mycobacterium phage Hosp,1463811,PRJNA248634,248634,"dsDNA viruses, no RNA stage",Siphoviridae,70.667,69.9,bacteria, Unknown:NC_024145.1/KJ433974.1,97,97,2014/03/02,2014/06/18,Complete Genome
Mycobacterium phage Phantastic,1486426,PRJNA248635,248635,"dsDNA viruses, no RNA stage",Siphoviridae,50.101,63.8,bacteria, Unknown:NC_024148.1/KJ510415.1,92,91,2014/05/05,2014/05/27,Complete Genome
Mycobacterium phage Seabiscuit,1458714,PRJNA248636,248636,"dsDNA viruses, no RNA stage",Siphoviridae,51.781,63.7,bacteria, Unknown:NC_024136.1/KJ194585.1,95,94,2014/04/02,2014/05/27,Complete Genome
California sea lion adenovirus 1,943083,PRJNA248745,248745,"dsDNA viruses, no RNA stage",Adenoviridae,31.709,36,vertebrates, Unknown:NC_024150.1/KJ563221.1,30,30,2014/05/27,2015/06/19,Complete Genome
Beauveria bassiana victorivirus NZL/1980,1485922,PRJNA248746,248746,dsRNA viruses,Totiviridae,5.327,58.5,fungi, Unknown:NC_024151.1/KJ364649.1,2,2,2014/05/27,2014/05/28,Complete Genome
Escherichia phage e4/1c,1495286,PRJNA249090,249090,"dsDNA viruses, no RNA stage",Siphoviridae,47.112,44.1,bacteria, Unknown:NC_024210.1/KJ668713.1,72,72,2014/05/07,2014/06/02,Complete Genome
Salmonella phage vB_SenS-Ent3,1465613,PRJNA249091,249091,"dsDNA viruses, no RNA stage",Siphoviridae,42.764,49.8,bacteria, Unknown:NC_024204.1/HG934470.1,60,60,2014/03/31,2015/08/04,Complete Genome
Bacillus phage Hakuna,1486659,PRJNA249092,249092,"dsDNA viruses, no RNA stage",Myoviridae,158.1,38.7,bacteria, Unknown:NC_024213.1/KJ489399.1,294,294,2014/05/11,2014/11/06,Complete Genome
Bacillus phage Hoody T,1486660,PRJNA249093,249093,"dsDNA viruses, no RNA stage",Myoviridae,159.837,38,bacteria, Unknown:NC_024205.1/KJ489400.1,278,270,2014/05/11,2014/11/06,Complete Genome
Bacillus phage CAM003,1486657,PRJNA249094,249094,"dsDNA viruses, no RNA stage",Myoviridae,160.541,38,bacteria, Unknown:NC_024216.1/KJ489397.1,295,287,2014/05/11,2014/11/06,Complete Genome
Bacillus phage Megatron,1486661,PRJNA249095,249095,"dsDNA viruses, no RNA stage",Myoviridae,158.75,38.8,bacteria, Unknown:NC_024211.1/KJ489401.1,290,290,2014/05/11,2014/11/06,Complete Genome
Bacillus phage Evoli,1486658,PRJNA249096,249096,"dsDNA viruses, no RNA stage",Myoviridae,159.656,38.1,bacteria, Unknown:NC_024207.1/KJ489398.1,302,294,2014/05/11,2014/11/06,Complete Genome
Lactococcus phage P092,1476887,PRJNA251389,251389,"dsDNA viruses, no RNA stage",Siphoviridae,53.513,33.5,bacteria, Unknown:NC_024203.1/KJ489011.1,76,76,2014/04/07,2014/06/02,Complete Genome
Lactococcus phage P078,1476886,PRJNA251390,251390,"dsDNA viruses, no RNA stage",Siphoviridae,54.452,33.5,bacteria, Unknown:NC_024215.1/KJ489010.1,78,78,2014/04/07,2014/06/02,Complete Genome
Nitrincola phage 1M3-16,1472912,PRJNA251391,251391,"dsDNA viruses, no RNA stage",unclassified,82.438,41.3,bacteria, Unknown:NC_024217.1/KJ534580.1,145,144,2014/04/22,2014/06/02,Complete Genome
Lactococcus phage P118,1476888,PRJNA251392,251392,"dsDNA viruses, no RNA stage",Siphoviridae,54.173,33.5,bacteria, Unknown:NC_024208.1/KJ489012.1,80,80,2014/04/07,2014/06/02,Complete Genome
Lactococcus phage P162,1476889,PRJNA251393,251393,"dsDNA viruses, no RNA stage",Siphoviridae,55.584,33.3,bacteria, Unknown:NC_024214.1/KJ489013.1,82,82,2014/04/07,2014/06/02,Complete Genome
Mycobacterium phage Hawkeye,1458711,PRJNA251394,251394,"dsDNA viruses, no RNA stage",Siphoviridae,67.383,57,bacteria, Unknown:NC_024209.1/KJ194582.1,104,104,2014/04/02,2014/06/02,Complete Genome
Goose calicivirus,1493858,PRJNA247501,247501,ssRNA viruses,Caliciviridae,8.013,54.7,vertebrates, Unknown:NC_024078.1/KJ473715.1,2,2,2014/05/06,2014/11/06,Complete Genome
Soybean cyst nematode virus 5,1495316,PRJNA247502,247502,ssRNA viruses,Flaviviridae,19.199,56.5,invertebrates, Unknown:NC_024077.1/KF726084.1,1,1,2014/05/07,2014/11/06,Complete Genome
Jingmen tick virus,1491393,PRJNA247973,247973,ssRNA viruses,unclassified,11.579,52.9358,"vertebrates, invertebrates", segmen  1:NC_024113.1/KJ001579.1;  segmen  2:NC_024112.1/KJ001580.1;  segmen  3:NC_024114.1/KJ001581.1;  segmen  4:NC_024111.1/KJ001582.1,5,5,2014/05/13,2015/10/20,Complete Genome
Tomato leaf curl Barka virus,1498504,PRJNA248098,248098,ssDNA viruses,Geminiviridae,2.753,42,plants, Unknown:NC_024116.1/KF260965.1,6,6,2014/05/13,2014/05/19,Complete Genome
Sweet potato leaf curl Henan virus,1489311,PRJNA210929,210929,ssDNA viruses,Geminiviridae,2.766,44.3,plants, Unknown:NC_021719.1/KC907406.1,6,6,2013/07/02,2015/03/19,Complete Genome
Mushroom bacilliform virus,32625,PRJNA14676,14676,ssRNA viruses,Barnaviridae,4.009,46.3,fungi, Unknown:NC_001633.1/U07551.1,4,4,1994/10/08,2013/02/06,Complete Genome
White spot syndrome virus,342409,PRJNA14616,14616,"dsDNA viruses, no RNA stage",Nimaviridae,309.286,40.9,invertebrates, Unknown:NC_003225.3/KT995472.1,177,177,2001/11/20,2016/01/10,Complete Genome
Hepatitis E virus,12461,PRJNA15435,15435,ssRNA viruses,Hepeviridae,7.176,57.9,"vertebrates, human", Unknown:NC_001434.1/L08816.1,3,3,1993/08/02,2015/02/10,Complete Genome
Heterosigma akashiwo RNA virus SOG263,239720,PRJNA15425,15425,ssRNA viruses,Marnaviridae,8.587,46.9,algae, Unknown:NC_005281.1/AY337486.1,1,1,2003/07/23,2008/07/16,Complete Genome
Acholeplasma virus L2,46014,PRJNA14066,14066,"dsDNA viruses, no RNA stage",Plasmaviridae,11.965,32,bacteria, Unknown:NC_001447.1/L13696.1,14,14,1993/06/11,2015/02/10,Complete Genome
Pseudoalteromonas phage PM2,10661,PRJNA14237,14237,"dsDNA viruses, no RNA stage",Corticoviridae,10.079,42.2,bacteria, Unknown:NC_000867.1/AF155037.1,22,22,1999/07/13,2010/03/26,Complete Genome
Botrytis virus F,129395,PRJNA14707,14707,ssRNA viruses,Gammaflexiviridae,6.827,53.4,fungi, Unknown:NC_002604.1/AF238884.1,2,2,2000/10/14,2009/11/30,Complete Genome
Chaetoceros socialis f. radians RNA virus 01,573993,PRJNA34845,34845,ssRNA viruses,unclassified,9.467,39.6,algae, Unknown:NC_012212.1/AB469874.1,2,2,2009/02/11,2009/09/08,Complete Genome
Ostreid herpesvirus 1,261939,PRJNA14552,14552,"dsDNA viruses, no RNA stage",Malacoherpesviridae,207.439,38.7,invertebrates, Unknown:NC_005881.2/AY509253.2,127,127,2004/02/02,2013/08/29,Complete Genome
Sweet potato leaf curl Lanzarote virus,574890,PRJNA41625,41625,ssDNA viruses,Geminiviridae,2.814,45,plants, Unknown:NC_013467.1/EU839579.2,6,6,2009/06/13,2010/12/08,Complete Genome
Drosophila melanogaster totivirus SW-2009a,663282,PRJNA41725,41725,dsRNA viruses,Totiviridae,6.78,42.3,invertebrates, Unknown:NC_013499.1/GQ342961.1,2,2,2009/11/08,2010/02/04,Complete Genome
Butterbur mosaic virus,666859,PRJNA42145,42145,ssRNA viruses,Betaflexiviridae,8.662,44.5,plants, Unknown:NC_013527.1/AB517596.1,6,6,2009/11/20,2009/12/02,Complete Genome
Fort Morgan virus,48544,PRJNA42147,42147,ssRNA viruses,Togaviridae,11.381,48.6,"vertebrates, invertebrates", Unknown:NC_013528.1/GQ281603.1,3,3,2009/11/24,2012/06/27,Complete Genome
Vibrio phage SIO-2,700512,PRJNA42177,42177,"dsDNA viruses, no RNA stage",Siphoviridae,81.184,45,bacteria, Unknown:NC_016567.1/HQ316604.1,116,115,2011/11/19,2012/07/23,Complete Genome
Synechococcus phage S-SSM4,536466,PRJNA42181,42181,"dsDNA viruses, no RNA stage",Myoviridae,182.801,39.4,bacteria, Unknown:NC_020875.1/HQ316583.1,223,220,2013/03/10,2013/03/30,Complete Genome
